name,capacity,technology,form factor,connectivity,release date,more tech info,dram inside,release year,capacity TBytes,power_idle,power_avg,power_max
Acer SA100,240 GB,QLCMicron96-layer,"2.5""",SATA 6 Gbps,2021,MAS0902A-B2C,DRAM-less,2021,0.234375,0.5,0,2
Acer SA100,480 GB,QLCMicron96-layer,"2.5""",SATA 6 Gbps,2021,MAS0902A-B2C,DRAM-less,2021,0.46875,0.5,0,2
Acer SA100,960 GB,QLCMicron96-layer,"2.5""",SATA 6 Gbps,2021,MAS0902A-B2C,DRAM-less,2021,0.9375,0.5,0,2
Acer Predator GM7000 (IG5236 + Micron B47R),512 GB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Oct 2022,IG5236,1024 MB(1 TB model),2022,0.5,2,0,4
Acer Predator GM7000 (IG5236 + Micron B47R),1 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Oct 2022,IG5236,1024 MB(1 TB model),2022,1,2,0,6
Acer Predator GM7000 (IG5236 + Micron B47R),2 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,Oct 2022,IG5236,1024 MB(1 TB model),2022,2,2,4,8
Acer Predator GM7000,4 TB,TLCMicron176-layer,M.2 2280,PCIe 4.0 x4,2022,IG5236,4096 MB(4 TB model),2022,4,2,6,8
Acer Predator GM7000 (IG5236 + Micron B27B),512 GB,TLCMicron96-layer,M.2 2280,PCIe 4.0 x4,Sep 2021,IG5236,1024 MB(1 TB model),2021,0.5,2,0,4
Acer Predator GM7000 (IG5236 + Micron B27B),1 TB,TLCMicron96-layer,M.2 2280,PCIe 4.0 x4,Sep 2021,IG5236,1024 MB(1 TB model),2021,1,2,0,6
Acer Predator GM7000 (IG5236 + Micron B27B),2 TB,TLCMicron96-layer,M.2 2280,PCIe 4.0 x4,Sep 2021,IG5236,1024 MB(1 TB model),2021,2,2,0,6
Acer Predator GM7 (YMTC EET1A X3-9070),1 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,DRAM-less(32 MB HMB),2023,1,1,4,6
Acer Predator GM7 (YMTC EET1A X3-9070),4 TB,TLCYMTC232-layer,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,DRAM-less(32 MB HMB),2023,4,0,0,6
