Année,Trimestre,Site,Pays,Region,PUE_trimestriel,PUE_12_derniers_mois,Source
2011,Q1,Parc (Global),Global,Global,1.13,1.16,Google Data Centers
2011,Q2,Parc (Global),Global,Global,1.15,1.15,Google Data Centers
2011,Q3,Parc (Global),Global,Global,1.15,1.15,Google Data Centers
2011,Q4,Parc (Global),Global,Global,1.12,1.14,Google Data Centers
2012,Q1,Parc (Global),Global,Global,1.11,1.13,Google Data Centers
2012,Q2,Parc (Global),Global,Global,1.13,1.13,Google Data Centers
2012,Q3,Parc (Global),Global,Global,1.13,1.13,Google Data Centers
2012,Q4,Parc (Global),Global,Global,1.12,1.12,Google Data Centers
2013,Q1,Parc (Global),Global,Global,1.12,1.12,Google Data Centers
2013,Q2,Parc (Global),Global,Global,1.12,1.12,Google Data Centers
2013,Q3,Parc (Global),Global,Global,1.12,1.12,Google Data Centers
2013,Q4,Parc (Global),Global,Global,1.11,1.12,Google Data Centers
2014,Q1,Parc (Global),Global,Global,1.11,1.12,Google Data Centers
2014,Q2,Parc (Global),Global,Global,1.12,1.12,Google Data Centers
2014,Q3,Parc (Global),Global,Global,1.12,1.12,Google Data Centers
2014,Q4,Parc (Global),Global,Global,1.11,1.12,Google Data Centers
2015,Q1,Parc (Global),Global,Global,1.11,1.12,Google Data Centers
2015,Q2,Parc (Global),Global,Global,1.12,1.12,Google Data Centers
2015,Q3,Parc (Global),Global,Global,1.12,1.12,Google Data Centers
2015,Q4,Parc (Global),Global,Global,1.11,1.12,Google Data Centers
2016,Q1,Parc (Global),Global,Global,1.11,1.12,Google Data Centers
2016,Q2,Parc (Global),Global,Global,1.12,1.12,Google Data Centers
2016,Q3,Parc (Global),Global,Global,1.12,1.12,Google Data Centers
2016,Q4,Parc (Global),Global,Global,1.11,1.12,Google Data Centers
2017,Q1,Eemshaven,Pays-Bas,Europe,1.22,,Google Data Centers
2017,Q1,Parc (Global),Global,Global,1.11,1.12,Google Data Centers
2017,Q1,Saint-Ghislain,Belgique,Europe,1.09,1.09,Google Data Centers
