date;potencia_mean;potencia_max;potencia_min;potencia_std;energia_max;voltaje_mean;corriente_mean;ESP32_temp_mean;WORKSTATION_CPU_mean;WORKSTATION_CPU_POWER_mean;WORKSTATION_CPU_TEMP_mean;WORKSTATION_GPU_mean;WORKSTATION_GPU_POWER_mean
2021-08-05;59.01;179.8;0.0;24.74;172.66;120.22;0.55;33.14;0.0;0.0;0.0;0.0;0.0
2021-08-06;68.21;169.3;65.4;7.48;174.3;120.17;0.63;32.84;0.0;0.0;0.0;0.0;0.0
2021-08-07;67.72;183.6;65.7;6.27;175.93;120.17;0.62;33.65;0.0;0.0;0.0;0.0;0.0
2021-08-08;68.0;134.0;65.7;7.49;177.56;120.17;0.63;33.88;0.0;0.0;0.0;0.0;0.0
2021-08-09;68.8;186.7;65.2;8.93;179.21;120.16;0.63;33.18;0.0;0.0;0.0;0.0;0.0
2021-08-10;81.82;199.6;65.3;19.62;181.11;120.1;0.75;31.14;2.04;15.54;11.27;0.02;14.34
2021-08-12;110.55;208.5;102.8;7.2;185.99;119.94;1.03;26.29;5.23;37.17;27.63;0.01;33.49
2021-08-13;110.07;193.9;103.0;5.7;188.64;119.95;1.02;26.42;5.02;37.17;27.33;0.01;33.5
2021-08-14;110.2;159.6;103.4;5.52;191.29;119.96;1.02;26.95;5.04;37.18;27.29;0.01;34.29
2021-08-15;110.52;184.5;104.1;5.48;193.94;119.95;1.03;27.38;5.12;37.43;27.44;0.01;34.75
2021-08-16;111.94;207.7;104.1;6.53;196.63;119.94;1.04;26.35;5.48;37.66;28.26;0.01;33.57
2021-08-17;111.72;202.6;104.9;5.68;199.31;119.94;1.03;26.38;5.32;37.63;28.11;0.01;33.71
2021-08-18;111.95;168.6;105.2;5.69;202.0;119.93;1.04;26.42;5.36;37.63;28.25;0.01;33.49
2021-08-19;112.19;173.9;105.5;5.62;204.69;119.93;1.04;26.37;5.41;37.69;28.4;0.01;33.57
2021-08-20;112.49;201.6;105.8;5.62;206.94;119.93;1.04;26.29;5.48;37.74;28.6;0.0;33.49
2021-08-22;109.97;206.1;95.6;6.39;212.79;119.97;1.02;27.45;4.92;38.3;26.92;0.01;34.86
2021-08-23;110.56;183.9;102.8;6.89;215.44;119.95;1.03;26.42;5.14;37.61;27.75;0.01;33.49
2021-08-24;109.84;202.5;102.6;5.81;218.08;119.96;1.02;26.22;4.91;37.08;27.26;0.01;33.56
2021-08-25;110.11;201.8;102.9;6.08;220.72;119.95;1.02;26.3;5.04;36.93;27.44;0.01;33.5
2021-08-26;110.12;159.5;103.6;5.35;223.25;119.96;1.02;26.41;5.09;36.95;27.41;0.01;33.54
2021-08-27;109.76;134.2;104.5;3.74;224.73;119.96;1.02;26.24;4.87;36.96;27.29;0.01;33.53
2021-09-01;112.29;163.0;106.1;5.25;239.46;119.95;1.04;26.51;5.58;37.56;28.37;0.01;33.66
2021-09-02;112.57;166.4;106.1;5.53;242.16;119.94;1.04;26.4;5.66;37.56;28.53;0.01;33.58
2021-09-03;112.71;210.2;106.2;5.37;244.46;119.93;1.04;26.42;5.69;37.59;28.6;0.01;33.27
2021-09-05;113.2;167.8;107.4;4.98;250.29;119.93;1.05;27.85;5.71;37.71;28.64;0.01;34.56
2021-09-06;113.98;179.1;107.4;6.1;253.03;119.92;1.05;26.77;6.05;37.82;29.21;0.01;33.66
2021-09-07;113.63;192.2;107.4;5.34;255.76;119.93;1.05;26.48;5.87;37.86;29.0;0.01;33.46
2021-09-08;113.72;172.1;107.6;5.2;258.49;119.93;1.05;26.59;5.91;37.92;29.08;0.01;33.55
2021-09-09;113.81;160.7;107.5;5.06;259.91;119.91;1.05;26.47;5.92;37.96;29.18;0.01;33.21
2021-09-11;86.42;157.2;80.4;4.21;265.17;120.08;0.76;26.78;5.69;38.06;29.05;0.01;33.98
2021-09-12;86.94;136.3;79.8;4.89;267.26;120.07;0.76;27.43;5.86;38.12;29.22;0.01;34.71
2021-09-13;87.74;141.3;79.9;6.07;269.36;120.07;0.77;26.69;6.25;38.19;29.89;0.01;33.58
2021-09-14;87.49;180.0;80.0;5.87;271.17;120.08;0.77;26.52;6.17;38.24;29.81;0.0;33.4
2021-09-18;82.35;165.5;68.1;6.3;278.13;120.09;0.73;24.79;5.01;35.61;27.4;0.0;30.59
2021-09-19;82.99;135.6;76.2;5.91;279.9;120.09;0.73;26.76;4.99;34.91;27.32;0.01;33.83
2021-11-24;110.49;199.3;97.3;10.27;418.31;119.14;1.03;51.63;6.45;28.19;20.04;1.57;24.49
2021-11-25;114.29;180.7;106.7;5.35;421.06;119.04;1.06;51.67;7.41;38.59;27.54;0.63;34.22
2021-11-26;114.74;223.3;99.4;6.1;422.88;119.03;1.07;51.57;7.52;38.34;27.72;0.59;34.32
2021-11-27;113.56;214.1;98.0;6.0;426.08;119.02;1.06;51.67;6.43;37.81;26.94;0.03;34.54
2021-11-29;100.57;142.6;95.2;9.51;431.28;119.61;0.97;50.62;0.0;0.0;0.0;0.0;0.0
2021-11-30;110.81;212.6;96.3;6.01;432.5;119.59;1.04;50.86;6.85;38.73;27.23;0.17;34.96
2021-12-01;108.62;219.0;96.5;12.73;435.32;119.01;1.02;50.22;5.25;19.17;14.87;2.09;17.02
2021-12-02;95.09;185.6;62.8;15.97;439.04;119.24;0.87;49.26;5.05;34.85;25.1;0.05;31.86
2021-12-03;95.95;204.7;75.1;16.11;441.43;119.22;0.87;51.15;5.54;36.5;26.49;0.06;32.93
