day_name;hour;potencia
Friday;0;102.42
Friday;1;103.21
Friday;2;101.62
Friday;3;101.62
Friday;4;104.39
Friday;5;102.33
Friday;6;103.27
Friday;7;104.16
Friday;8;101.38
Friday;9;102.44
Friday;10;105.97
Friday;11;101.57
Friday;12;103.25
Friday;13;101.51
Friday;14;104.22
Friday;15;100.74
Friday;16;97.95
Friday;17;102.11
Friday;18;98.88
Friday;19;99.12
Friday;20;93.33
Friday;21;90.16
Friday;22;87.68
Friday;23;87.82
Monday;0;96.62
Monday;1;96.64
Monday;2;96.59
Monday;3;97.54
Monday;4;101.04
Monday;5;96.61
Monday;6;97.54
Monday;7;101.05
Monday;8;96.3
Monday;9;98.26
Monday;10;99.87
Monday;11;96.57
Monday;12;96.58
Monday;13;97.62
Monday;14;100.98
Monday;15;97.86
Monday;16;99.76
Monday;17;110.39
Monday;18;99.2
Monday;19;96.94
Monday;20;96.72
Monday;21;96.82
Monday;22;98.72
Monday;23;100.21
Saturday;0;88.29
Saturday;1;87.38
Saturday;2;97.92
Saturday;3;96.76
Saturday;4;95.33
Saturday;5;95.51
Saturday;6;96.96
Saturday;7;93.99
Saturday;8;95.15
Saturday;9;94.03
Saturday;10;96.71
Saturday;11;94.88
Saturday;12;95.08
Saturday;13;94.06
Saturday;14;94.0
Saturday;15;95.69
Saturday;16;96.17
Saturday;17;95.28
Saturday;18;94.03
Saturday;19;94.76
Saturday;20;86.79
Saturday;21;85.76
Saturday;22;85.81
Saturday;23;85.63
Sunday;0;86.45
Sunday;1;90.93
Sunday;2;91.81
Sunday;3;94.64
Sunday;4;91.1
Sunday;5;93.75
Sunday;6;92.57
Sunday;7;90.46
Sunday;8;92.08
Sunday;9;91.03
Sunday;10;93.74
Sunday;11;93.71
Sunday;12;91.14
Sunday;13;91.17
Sunday;14;91.04
Sunday;15;94.41
Sunday;16;93.45
Sunday;17;91.32
Sunday;18;92.1
Sunday;19;92.58
Sunday;20;93.76
Sunday;21;95.6
Sunday;22;99.46
Sunday;23;99.03
Thursday;0;111.57
Thursday;1;112.81
Thursday;2;111.93
Thursday;3;111.77
Thursday;4;115.17
Thursday;5;112.15
Thursday;6;113.69
Thursday;7;116.01
Thursday;8;111.11
Thursday;9;112.13
Thursday;10;114.53
Thursday;11;97.09
Thursday;12;99.59
Thursday;13;103.4
Thursday;14;103.99
Thursday;15;102.08
Thursday;16;102.18
Thursday;17;103.7
Thursday;18;102.15
Thursday;19;102.36
Thursday;20;102.45
Thursday;21;102.39
Thursday;22;102.73
Thursday;23;103.38
Tuesday;0;98.33
Tuesday;1;99.05
Tuesday;2;98.97
Tuesday;3;99.74
Tuesday;4;102.7
Tuesday;5;98.94
Tuesday;6;100.09
Tuesday;7;102.34
Tuesday;8;98.99
Tuesday;9;100.58
Tuesday;10;103.05
Tuesday;11;99.73
Tuesday;12;97.24
Tuesday;13;99.83
Tuesday;14;102.42
Tuesday;15;101.89
Tuesday;16;104.15
Tuesday;17;108.15
Tuesday;18;106.81
Tuesday;19;105.29
Tuesday;20;108.7
Tuesday;21;109.99
Tuesday;22;112.46
Tuesday;23;113.83
Wednesday;0;110.59
Wednesday;1;110.43
Wednesday;2;110.53
Wednesday;3;110.55
Wednesday;4;115.48
Wednesday;5;110.72
Wednesday;6;110.61
Wednesday;7;115.5
Wednesday;8;110.25
Wednesday;9;110.5
Wednesday;10;115.36
Wednesday;11;110.93
Wednesday;12;110.52
Wednesday;13;110.64
Wednesday;14;114.16
Wednesday;15;110.95
Wednesday;16;111.41
Wednesday;17;113.14
Wednesday;18;111.15
Wednesday;19;110.21
Wednesday;20;110.26
Wednesday;21;110.18
Wednesday;22;112.82
Wednesday;23;114.52
