hour;potencia;energia;ESP32_temp;WORKSTATION_CPU;WORKSTATION_CPU_POWER
0;100.13;226.65;32.48;4.51;32.11
1;100.64;230.42;32.7;4.72;32.39
2;100.94;231.3;33.44;4.74;32.52
3;101.39;232.02;33.32;4.89;32.72
4;103.1;232.31;33.19;5.51;32.8
5;100.76;232.71;33.39;4.95;32.68
6;101.56;232.48;33.43;5.03;32.66
7;102.9;231.92;32.29;5.53;32.8
8;100.52;231.63;31.47;4.77;32.83
9;101.23;231.68;32.09;4.96;32.79
10;104.11;231.94;32.47;5.73;32.74
11;98.86;225.65;32.14;4.62;32.01
12;99.14;225.38;32.47;4.83;32.55
13;100.29;225.3;33.97;4.78;31.45
14;101.68;226.13;33.8;5.2;32.28
15;100.28;225.8;33.09;4.89;32.58
16;100.6;225.57;32.67;4.92;32.16
17;103.19;225.72;33.17;5.78;32.14
18;100.61;224.78;33.21;4.84;32.2
19;100.3;223.85;33.39;4.73;32.26
20;99.36;222.52;32.73;4.53;31.96
21;99.65;220.79;32.16;4.37;31.61
22;101.46;220.52;31.65;4.9;31.68
23;102.04;221.98;32.37;5.07;31.77
