name,type,release_date,tdp,manufacturer,gwp_embedded,gwp_use,gwp_total,pe_embedded,pe_use,pe_total
Intel Core i7-7700HQ,CPU,1/3/17,45.0,Intel,13.71,400.0,413.71,217.5,20000.0,20217.5
Intel Xeon E5-4667 v3,CPU,6/1/15,135.0,Intel,13.71,1300.0,1313.71,217.5,50000.0,50217.5
AMD Opteron 8212 HE (F2),CPU,8/15/06,68.0,AMD,13.71,700.0,713.71,217.5,20000.0,20217.5
Intel Pentium Dual-Core E2200,CPU,12/2/07,65.0,Intel,13.71,600.0,613.71,217.5,20000.0,20217.5
AMD Athlon X4 940,CPU,7/27/17,65.0,AMD,13.71,600.0,613.71,217.5,20000.0,20217.5
Intel Core i7-3740QM,CPU,9/3/12,45.0,Intel,13.71,400.0,413.71,217.5,20000.0,20217.5
Intel Pentium 4 HT 2.60,CPU,5/21/03,69.0,Intel,13.71,700.0,713.71,217.5,20000.0,20217.5
AMD Turion 64 MT-28,CPU,6/22/05,22.0,AMD,13.71,220.0,233.71,217.5,10000.0,10217.5
Intel Xeon E-2278GEL,CPU,6/11/19,35.0,Intel,13.71,300.0,313.71,217.5,10000.0,10217.5
Intel Pentium 4-M 2.20,CPU,9/16/02,35.0,Intel,13.71,300.0,313.71,217.5,10000.0,10217.5
Intel Core i5-14500T,CPU,1/8/24,35.0,Intel,13.71,300.0,313.71,217.5,10000.0,10217.5
Intel Core i5-1240U,CPU,2/23/22,9.0,Intel,13.71,90.0,103.71000000000001,217.5,3000.0,3217.5
AMD PRO A12-9800E,CPU,7/27/17,35.0,AMD,13.71,300.0,313.71,217.5,10000.0,10217.5
AMD A10-5700,CPU,10/2/12,65.0,AMD,13.71,600.0,613.71,217.5,20000.0,20217.5
Intel Xeon E5-4640 v3,CPU,6/1/15,105.0,Intel,13.71,1000.0,1013.71,217.5,40000.0,40217.5
Intel Xeon E5-2643 v3,CPU,9/8/14,135.0,Intel,13.71,1300.0,1313.71,217.5,50000.0,50217.5
AMD Ryzen 3 PRO 4350GE,CPU,7/21/20,35.0,AMD,13.71,300.0,313.71,217.5,10000.0,10217.5
AMD Turion 64 MT-40,CPU,8/8/05,25.0,AMD,13.71,250.0,263.71,217.5,10000.0,10217.5
Intel Xeon E5-2666 v3,CPU,11/13/14,135.0,Intel,13.71,1300.0,1313.71,217.5,50000.0,50217.5
AMD Ryzen 7 PRO 6850U,CPU,4/19/22,15.0,AMD,13.71,150.0,163.71,217.5,10000.0,10217.5
NVIDIA GeForce GT 420 OEM,GPU,9/3/10,50.0,NVIDIA,13.71,500.0,513.71,217.5,20000.0,20217.5
AMD Radeon RX 7700,GPU,,200.0,AMD,13.71,2000.0,2013.71,217.5,100000.0,100217.5
NVIDIA Quadro FX 370,GPU,9/12/07,35.0,NVIDIA,13.71,300.0,313.71,217.5,10000.0,10217.5
Intel HD Graphics 4000 Mobile,GPU,5/14/12,45.0,Intel,13.71,400.0,413.71,217.5,20000.0,20217.5
AMD Radeon R9 295X2,GPU,4/29/14,500.0,AMD,13.71,5000.0,5013.71,217.5,200000.0,200217.5
AMD Radeon HD 6990M Rebrand,GPU,7/12/11,100.0,AMD,13.71,1000.0,1013.71,217.5,30000.0,30217.5
NVIDIA Tesla M4,GPU,11/10/15,50.0,NVIDIA,13.71,500.0,513.71,217.5,20000.0,20217.5
AMD Radeon HD 6490,GPU,7/4/11,39.0,AMD,13.71,400.0,413.71,217.5,10000.0,10217.5
NVIDIA Tesla C2090,GPU,7/25/11,250.0,NVIDIA,13.71,2500.0,2513.71,217.5,100000.0,100217.5
AMD Radeon HD 6380G IGP,GPU,6/14/11,35.0,AMD,13.71,300.0,313.71,217.5,10000.0,10217.5
NVIDIA Tesla K20X,GPU,11/12/12,235.0,NVIDIA,13.71,2300.0,2313.71,217.5,100000.0,100217.5
AMD Radeon R5 340X OEM,GPU,5/5/15,65.0,AMD,13.71,600.0,613.71,217.5,20000.0,20217.5
NVIDIA GeForce GT 435M,GPU,9/3/10,35.0,NVIDIA,13.71,300.0,313.71,217.5,10000.0,10217.5
Intel Arc Pro A30M,GPU,8/8/22,50.0,Intel,13.71,500.0,513.71,217.5,20000.0,20217.5
ATI Radeon E2400,GPU,6/28/07,25.0,ATI,13.71,250.0,263.71,217.5,10000.0,10217.5
NVIDIA RTX A3000 Mobile 12 GB,GPU,3/22/22,115.0,NVIDIA,13.71,1100.0,1113.71,217.5,40000.0,40217.5
NVIDIA GeForce GTX 760 OEM,GPU,11/6/16,170.0,NVIDIA,13.71,1700.0,1713.71,217.5,100000.0,100217.5
NVIDIA Quadro P3200 Max-Q,GPU,2/21/18,75.0,NVIDIA,13.71,700.0,713.71,217.5,30000.0,30217.5
NVIDIA Quadro P500 Mobile,GPU,1/5/18,18.0,NVIDIA,13.71,180.0,193.71,217.5,10000.0,10217.5
NVIDIA GeForce Go 7900 SE,GPU,4/18/06,20.0,NVIDIA,13.71,200.0,213.71,217.5,10000.0,10217.5
