Category,Meter,JANVIER,FEVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOUT,SEPTEMBRE,OCTOBRE,Functional_Group,Total_Period_kWh
TGHQ VOIE A,05Q1 DISJ GENERAL,,3247.0,4259.0,5152.0,4376.0,4646.0,6826.0,10751.0,16529.0,22914.0,Main Supply,78700.0
TGBT VOIE A,02Q5 GF1,,4356.0,4150.0,6468.0,4475.0,3272.0,8809.0,15445.0,7127.0,9678.0,Cooling,63780.0
TGBT VOIE A,02Q1 ONDULEUR A1,,5108.0,5098.0,6081.0,5134.0,5226.0,7616.0,7036.0,9332.0,12599.0,IT Load,63230.0
TGBT VOIE B,01Q1 DISJ GENERAL TRANSFO,,4245.0,5348.0,5099.0,4535.0,4558.0,2673.0,5509.0,8418.0,8718.0,Main Supply,49103.0
TGBT VOIE A,02Q6 GF2,,4341.0,4105.0,4238.0,4852.0,6830.0,6462.0,2832.0,8806.0,6400.0,Cooling,48866.0
TGHQ VOIE A,06Q3 TDHQ HA1,,342.0,420.0,623.0,738.0,677.0,1393.0,3642.0,5868.0,9525.0,IT Load,23228.0
TGHQ VOIE A,07Q3 TDHQCVCA,,2165.0,3342.0,3490.0,2557.0,,,2818.0,3654.0,3813.0,Cooling,21839.0
TGHQ VOIE A,06Q4 TDHQHA2,,,548.0,647.0,766.0,661.0,1410.0,3465.0,5303.0,7931.0,IT Load,20731.0
TGBT VOIE B,02Q3  GF SI/TELECOM,,1158.0,1383.0,1970.0,1552.0,1124.0,1167.0,2430.0,3831.0,5429.0,Cooling,20044.0
TGBT VOIE A,03Q2 TDBATRDC NORMAL,,853.0,1144.0,1236.0,622.0,589.0,3102.0,3051.0,4006.0,4118.0,General Infrastructure,18721.0
