Meter,JANVIER,FEVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOUT,SEPTEMBRE,OCTOBRE
05Q1 DISJ GENERAL,,3247.0,4259.0,5152.0,4376.0,4646.0,6826.0,10751.0,16529.0,22914.0
02Q5 GF1,,4356.0,4150.0,6468.0,4475.0,3272.0,8809.0,15445.0,7127.0,9678.0
02Q1 ONDULEUR A1,,5108.0,5098.0,6081.0,5134.0,5226.0,7616.0,7036.0,9332.0,12599.0
01Q1 DISJ GENERAL TRANSFO,,4245.0,5348.0,5099.0,4535.0,4558.0,2673.0,5509.0,8418.0,8718.0
02Q6 GF2,,4341.0,4105.0,4238.0,4852.0,6830.0,6462.0,2832.0,8806.0,6400.0
06Q3 TDHQ HA1,,342.0,420.0,623.0,738.0,677.0,1393.0,3642.0,5868.0,9525.0
07Q3 TDHQCVCA,,2165.0,3342.0,3490.0,2557.0,,,2818.0,3654.0,3813.0
06Q4 TDHQHA2,,,548.0,647.0,766.0,661.0,1410.0,3465.0,5303.0,7931.0
02Q3  GF SI/TELECOM,,1158.0,1383.0,1970.0,1552.0,1124.0,1167.0,2430.0,3831.0,5429.0
03Q2 TDBATRDC NORMAL,,853.0,1144.0,1236.0,622.0,589.0,3102.0,3051.0,4006.0,4118.0
02Q2 RESERVE,,1835.0,1872.0,2274.0,1804.0,1430.0,1176.0,1746.0,2637.0,2589.0
03Q1 DISJ GENERAL,,596.0,655.0,1120.0,871.0,579.0,506.0,1617.0,2946.0,4497.0
01Q2 DISJ GENERAL GE,,850.0,1694.0,1548.0,1096.0,938.0,1250.0,1216.0,1135.0,1335.0
TDBAT RDC VOIE A,,665.0,280.0,391.0,861.0,641.0,3958.0,,,
04Q3 TDHQ-CVC,,448.0,567.0,579.0,594.0,355.0,193.0,952.0,983.0,801.0
