meter_name,month,month_index,kwh
01Q1 DISJ GENERAL TRANSFO,Feb,2,13783.0
01Q2 DISJ GENERAL GE,Feb,2,4280.0
02Q1TD BAT RDC NORMAL,Feb,2,1220.0
02Q2 RESERVE,Feb,2,4076.0
02Q3  GF SI/TELECOM,Feb,2,3439.0
02Q4 ALIM ONDULEUR,Feb,2,97.0
03Q1 DISJ GENERAL,Feb,2,2043.0
04Q1 TDHQ S-B1,Feb,2,567.0
04Q2 TDHQT-B1,Feb,2,141.0
04Q3 TDHQ-CVC,Feb,2,1164.0
02Q1 ONDULEUR A1,Feb,2,21487.0
02Q5 GF1,Feb,2,12681.0
02Q6 GF2 ,Feb,2,12777.0
02Q8  DRY,Feb,2,118.0
03Q1 TD UTIL CVC,Feb,2,4767.0
03Q2 TDBATRDC NORMAL ,Feb,2,2048.0
03Q3 ASCENSEUR,Feb,2,3.0
05Q1 DISJ GENERAL,Feb,2,19630.0
06Q1 TDHQ TA1,Feb,2,104.0
06Q2 TDHQ SI,Feb,2,1812.0
06Q3 TDHQ HA1,Feb,2,4904.0
06Q4 TDHQHA2,Feb,2,4801.0
07Q3 TDHQCVCA,Feb,2,8197.0
07Q4 TDBATRDCA,Feb,2,0.0
TDBAT RDC VOIE A,Feb,2,4668.0
TDBAT RDC VOIE B,Feb,2,4609.0
TDHQTA1,Feb,2,187.0
TDHQTB1,Feb,2,335.0
TDHQSA1,Feb,2,824.0
TDHQSB1,Feb,2,779.0
TDHQHA1,Feb,2,1293.0
TDHQHA2,Feb,2,1243.0
01Q1 DISJ GENERAL TRANSFO,Mar,3,19131.0
01Q2 DISJ GENERAL GE,Mar,3,5974.0
02Q1TD BAT RDC NORMAL,Mar,3,1220.0
02Q2 RESERVE,Mar,3,5948.0
02Q3  GF SI/TELECOM,Mar,3,4822.0
02Q4 ALIM ONDULEUR,Mar,3,97.0
03Q1 DISJ GENERAL,Mar,3,2698.0
04Q1 TDHQ S-B1,Mar,3,591.0
04Q2 TDHQT-B1,Mar,3,217.0
04Q3 TDHQ-CVC,Mar,3,1731.0
02Q1 ONDULEUR A1,Mar,3,26585.0
02Q5 GF1,Mar,3,16831.0
02Q6 GF2 ,Mar,3,16882.0
02Q8  DRY,Mar,3,118.0
03Q1 TD UTIL CVC,Mar,3,4938.0
03Q2 TDBATRDC NORMAL ,Mar,3,3192.0
03Q3 ASCENSEUR,Mar,3,7.0
05Q1 DISJ GENERAL,Mar,3,23889.0
06Q1 TDHQ TA1,Mar,3,120.0
06Q2 TDHQ SI,Mar,3,1894.0
06Q3 TDHQ HA1,Mar,3,5324.0
06Q4 TDHQHA2,Mar,3,5349.0
07Q3 TDHQCVCA,Mar,3,11539.0
07Q4 TDBATRDCA,Mar,3,0.0
TDBAT RDC VOIE A,Mar,3,4948.0
TDBAT RDC VOIE B,Mar,3,4921.0
TDHQTA1,Mar,3,198.0
TDHQTB1,Mar,3,471.0
TDHQSA1,Mar,3,973.0
TDHQSB1,Mar,3,911.0
TDHQHA1,Mar,3,1350.0
TDHQHA2,Mar,3,1294.0
01Q1 DISJ GENERAL TRANSFO,Apr,4,24230.0
01Q2 DISJ GENERAL GE,Apr,4,7522.0
02Q1TD BAT RDC NORMAL,Apr,4,1220.0
02Q2 RESERVE,Apr,4,8222.0
02Q3  GF SI/TELECOM,Apr,4,6792.0
02Q4 ALIM ONDULEUR,Apr,4,97.0
03Q1 DISJ GENERAL,Apr,4,3818.0
04Q1 TDHQ S-B1,Apr,4,697.0
04Q2 TDHQT-B1,Apr,4,329.0
04Q3 TDHQ-CVC,Apr,4,2310.0
02Q1 ONDULEUR A1,Apr,4,32666.0
02Q5 GF1,Apr,4,23299.0
02Q6 GF2 ,Apr,4,21120.0
02Q8  DRY,Apr,4,118.0
03Q1 TD UTIL CVC,Apr,4,5114.0
03Q2 TDBATRDC NORMAL ,Apr,4,4428.0
03Q3 ASCENSEUR,Apr,4,13.0
05Q1 DISJ GENERAL,Apr,4,29041.0
06Q1 TDHQ TA1,Apr,4,141.0
06Q2 TDHQ SI,Apr,4,1992.0
06Q3 TDHQ HA1,Apr,4,5947.0
06Q4 TDHQHA2,Apr,4,5996.0
07Q3 TDHQCVCA,Apr,4,15029.0
07Q4 TDBATRDCA,Apr,4,2.0
TDBAT RDC VOIE A,Apr,4,5339.0
TDBAT RDC VOIE B,Apr,4,5301.0
TDHQTA1,Apr,4,211.0
TDHQTB1,Apr,4,613.0
TDHQSA1,Apr,4,1078.0
TDHQSB1,Apr,4,1058.0
TDHQHA1,Apr,4,1574.0
TDHQHA2,Apr,4,1518.0
01Q1 DISJ GENERAL TRANSFO,May,5,28765.0
01Q2 DISJ GENERAL GE,May,5,8618.0
02Q1TD BAT RDC NORMAL,May,5,1220.0
02Q2 RESERVE,May,5,10026.0
02Q3  GF SI/TELECOM,May,5,8344.0
02Q4 ALIM ONDULEUR,May,5,97.0
03Q1 DISJ GENERAL,May,5,4689.0
04Q2 TDHQT-B1,May,5,432.0
04Q3 TDHQ-CVC,May,5,2904.0
02Q1 ONDULEUR A1,May,5,37800.0
02Q5 GF1,May,5,27774.0
02Q6 GF2 ,May,5,25972.0
02Q8  DRY,May,5,118.0
03Q1 TD UTIL CVC,May,5,5117.0
03Q2 TDBATRDC NORMAL ,May,5,5050.0
03Q3 ASCENSEUR,May,5,14.0
05Q1 DISJ GENERAL,May,5,33417.0
06Q1 TDHQ TA1,May,5,167.0
06Q2 TDHQ SI,May,5,2071.0
06Q3 TDHQ HA1,May,5,6685.0
06Q4 TDHQHA2,May,5,6762.0
07Q3 TDHQCVCA,May,5,17586.0
07Q4 TDBATRDCA,May,5,8.0
TDBAT RDC VOIE A,May,5,6200.0
TDBAT RDC VOIE B,May,5,6200.0
TDHQTA1,May,5,244.0
TDHQTB1,May,5,765.0
TDHQSA1,May,5,1160.0
TDHQSB1,May,5,1175.0
TDHQHA1,May,5,1808.0
TDHQHA2,May,5,1726.0
01Q1 DISJ GENERAL TRANSFO,Jun,6,33323.0
01Q2 DISJ GENERAL GE,Jun,6,9556.0
02Q1TD BAT RDC NORMAL,Jun,6,1220.0
02Q2 RESERVE,Jun,6,11456.0
02Q3  GF SI/TELECOM,Jun,6,9468.0
02Q4 ALIM ONDULEUR,Jun,6,97.0
03Q1 DISJ GENERAL,Jun,6,5268.0
04Q2 TDHQT-B1,Jun,6,513.0
04Q3 TDHQ-CVC,Jun,6,3259.0
02Q1 ONDULEUR A1,Jun,6,43026.0
02Q5 GF1,Jun,6,31046.0
02Q6 GF2 ,Jun,6,32802.0
02Q8  DRY,Jun,6,1673.0
03Q1 TD UTIL CVC,Jun,6,5117.0
03Q2 TDBATRDC NORMAL ,Jun,6,5639.0
03Q3 ASCENSEUR,Jun,6,16.0
05Q1 DISJ GENERAL,Jun,6,38063.0
06Q1 TDHQ TA1,Jun,6,214.0
06Q2 TDHQ SI,Jun,6,2135.0
06Q3 TDHQ HA1,Jun,6,7362.0
06Q4 TDHQHA2,Jun,6,7423.0
07Q4 TDBATRDCA,Jun,6,8.0
TDBAT RDC VOIE A,Jun,6,6841.0
TDBAT RDC VOIE B,Jun,6,6803.0
TDHQTA1,Jun,6,272.0
TDHQTB1,Jun,6,907.0
TDHQSA1,Jun,6,1238.0
TDHQSB1,Jun,6,1284.0
TDHQHA1,Jun,6,2067.0
TDHQHA2,Jun,6,1967.0
01Q1 DISJ GENERAL TRANSFO,Jul,7,35996.0
01Q2 DISJ GENERAL GE,Jul,7,10806.0
02Q1TD BAT RDC NORMAL,Jul,7,1220.0
02Q2 RESERVE,Jul,7,12632.0
02Q3  GF SI/TELECOM,Jul,7,10635.0
02Q4 ALIM ONDULEUR,Jul,7,97.0
03Q1 DISJ GENERAL,Jul,7,5774.0
04Q1 TDHQ S-B1,Jul,7,842.0
04Q2 TDHQT-B1,Jul,7,656.0
04Q3 TDHQ-CVC,Jul,7,3452.0
02Q1 ONDULEUR A1,Jul,7,50642.0
02Q5 GF1,Jul,7,39855.0
02Q6 GF2 ,Jul,7,39264.0
02Q8  DRY,Jul,7,1701.0
03Q1 TD UTIL CVC,Jul,7,5118.0
03Q2 TDBATRDC NORMAL ,Jul,7,8741.0
03Q3 ASCENSEUR,Jul,7,18.0
05Q1 DISJ GENERAL,Jul,7,44889.0
06Q1 TDHQ TA1,Jul,7,325.0
06Q2 TDHQ SI,Jul,7,2224.0
06Q3 TDHQ HA1,Jul,7,8755.0
06Q4 TDHQHA2,Jul,7,8833.0
07Q3 TDHQCVCA,Jul,7,24263.0
07Q4 TDBATRDCA,Jul,7,8.0
TDBAT RDC VOIE A,Jul,7,10799.0
TDHQTA1,Jul,7,288.0
TDHQTB1,Jul,7,1364.0
TDHQSA1,Jul,7,1315.0
TDHQSB1,Jul,7,1364.0
TDHQHA1,Jul,7,2109.0
TDHQHA2,Jul,7,2007.0
01Q1 DISJ GENERAL TRANSFO,Aug,8,41505.0
01Q2 DISJ GENERAL GE,Aug,8,12022.0
02Q1TD BAT RDC NORMAL,Aug,8,1220.0
02Q2 RESERVE,Aug,8,14378.0
02Q3  GF SI/TELECOM,Aug,8,13065.0
02Q4 ALIM ONDULEUR,Aug,8,97.0
03Q1 DISJ GENERAL,Aug,8,7391.0
04Q1 TDHQ S-B1,Aug,8,1179.0
04Q2 TDHQT-B1,Aug,8,940.0
04Q3 TDHQ-CVC,Aug,8,4404.0
02Q1 ONDULEUR A1,Aug,8,57678.0
02Q5 GF1,Aug,8,55300.0
02Q6 GF2 ,Aug,8,42096.0
02Q8  DRY,Aug,8,3970.0
03Q1 TD UTIL CVC,Aug,8,5206.0
03Q2 TDBATRDC NORMAL ,Aug,8,11792.0
03Q3 ASCENSEUR,Aug,8,20.0
05Q1 DISJ GENERAL,Aug,8,55640.0
06Q1 TDHQ TA1,Aug,8,574.0
06Q2 TDHQ SI,Aug,8,2587.0
06Q3 TDHQ HA1,Aug,8,12397.0
06Q4 TDHQHA2,Aug,8,12298.0
07Q3 TDHQCVCA,Aug,8,27081.0
07Q4 TDBATRDCA,Aug,8,8.0
01Q1 DISJ GENERAL TRANSFO,Sep,9,49923.0
01Q2 DISJ GENERAL GE,Sep,9,13157.0
02Q1TD BAT RDC NORMAL,Sep,9,1220.0
02Q2 RESERVE,Sep,9,17015.0
02Q3  GF SI/TELECOM,Sep,9,16896.0
02Q4 ALIM ONDULEUR,Sep,9,97.0
03Q1 DISJ GENERAL,Sep,9,10337.0
04Q1 TDHQ S-B1,Sep,9,2706.0
04Q2 TDHQT-B1,Sep,9,1281.0
04Q3 TDHQ-CVC,Sep,9,5387.0
02Q1 ONDULEUR A1,Sep,9,67010.0
02Q5 GF1,Sep,9,62427.0
02Q6 GF2 ,Sep,9,50902.0
02Q8  DRY,Sep,9,3970.0
03Q1 TD UTIL CVC,Sep,9,5217.0
03Q2 TDBATRDC NORMAL ,Sep,9,15798.0
03Q3 ASCENSEUR,Sep,9,23.0
05Q1 DISJ GENERAL,Sep,9,72169.0
06Q1 TDHQ TA1,Sep,9,883.0
06Q2 TDHQ SI,Sep,9,3690.0
06Q3 TDHQ HA1,Sep,9,18265.0
06Q4 TDHQHA2,Sep,9,17601.0
07Q3 TDHQCVCA,Sep,9,30735.0
07Q4 TDBATRDCA,Sep,9,8.0
01Q1 DISJ GENERAL TRANSFO,Oct,10,58641.0
01Q2 DISJ GENERAL GE,Oct,10,14492.0
02Q1TD BAT RDC NORMAL,Oct,10,1220.0
02Q2 RESERVE,Oct,10,19604.0
02Q3  GF SI/TELECOM,Oct,10,22325.0
02Q4 ALIM ONDULEUR,Oct,10,97.0
03Q1 DISJ GENERAL,Oct,10,14834.0
04Q1 TDHQ S-B1,Oct,10,5944.0
04Q2 TDHQT-B1,Oct,10,1629.0
04Q3 TDHQ-CVC,Oct,10,6188.0
02Q1 ONDULEUR A1,Oct,10,79609.0
02Q5 GF1,Oct,10,72105.0
02Q6 GF2 ,Oct,10,57302.0
02Q8  DRY,Oct,10,3970.0
03Q1 TD UTIL CVC,Oct,10,5221.0
03Q2 TDBATRDC NORMAL ,Oct,10,19916.0
03Q3 ASCENSEUR,Oct,10,27.0
05Q1 DISJ GENERAL,Oct,10,95083.0
06Q1 TDHQ TA1,Oct,10,1194.0
06Q2 TDHQ SI,Oct,10,4694.0
06Q3 TDHQ HA1,Oct,10,27790.0
06Q4 TDHQHA2,Oct,10,25532.0
07Q3 TDHQCVCA,Oct,10,34548.0
07Q4 TDBATRDCA,Oct,10,8.0
