meter_name,total_kwh
02Q1 ONDULEUR A1,416503.0
05Q1 DISJ GENERAL,411821.0
02Q5 GF1,341318.0
01Q1 DISJ GENERAL TRANSFO,305297.0
02Q6 GF2 ,299117.0
07Q3 TDHQCVCA,168978.0
02Q2 RESERVE,103357.0
06Q3 TDHQ HA1,97429.0
02Q3  GF SI/TELECOM,95786.0
06Q4 TDHQHA2,94595.0
01Q2 DISJ GENERAL GE,86427.0
03Q2 TDBATRDC NORMAL ,76604.0
03Q1 DISJ GENERAL,56852.0
03Q1 TD UTIL CVC,45815.0
TDBAT RDC VOIE A,38795.0
04Q3 TDHQ-CVC,30799.0
TDBAT RDC VOIE B,27834.0
06Q2 TDHQ SI,23099.0
02Q8  DRY,15756.0
04Q1 TDHQ S-B1,12526.0
02Q1TD BAT RDC NORMAL,10980.0
TDHQHA1,10201.0
TDHQHA2,9755.0
TDHQSA1,6588.0
TDHQSB1,6571.0
04Q2 TDHQT-B1,6138.0
TDHQTB1,4455.0
06Q1 TDHQ TA1,3722.0
TDHQTA1,1400.0
02Q4 ALIM ONDULEUR,873.0
03Q3 ASCENSEUR,141.0
07Q4 TDBATRDCA,50.0
