meter_name,avg_kwh,std_kwh,min_kwh,max_kwh,cv
01Q1 DISJ GENERAL TRANSFO,33921.88888888889,14465.932578341124,13783.0,58641.0,0.42644832148717515
01Q2 DISJ GENERAL GE,9603.0,3365.9874479861032,4280.0,14492.0,0.35051415682454473
02Q1 ONDULEUR A1,46278.11111111111,19235.131734955998,21487.0,79609.0,0.41564210969573806
02Q1TD BAT RDC NORMAL,1220.0,0.0,1220.0,1220.0,0.0
02Q2 RESERVE,11484.111111111111,5056.091040627245,4076.0,19604.0,0.4402683840053911
02Q3  GF SI/TELECOM,10642.888888888889,6007.42420768761,3439.0,22325.0,0.5644542821413201
02Q4 ALIM ONDULEUR,97.0,0.0,97.0,97.0,0.0
02Q5 GF1,37924.22222222222,20978.368661419896,12681.0,72105.0,0.5531654291680459
02Q6 GF2 ,33235.22222222222,15378.03545464909,12777.0,57302.0,0.46270295266347894
02Q8  DRY,1750.6666666666667,1783.5085505822506,118.0,3970.0,1.0187596442777516
03Q1 DISJ GENERAL,6316.888888888889,4054.442577113544,2043.0,14834.0,0.6418416800468215
03Q1 TD UTIL CVC,5090.555555555556,148.74232006318087,4767.0,5221.0,0.029219270556992857
03Q2 TDBATRDC NORMAL ,8511.555555555555,6133.434765918504,2048.0,19916.0,0.7206009202295773
03Q3 ASCENSEUR,15.666666666666666,7.516648189186455,3.0,27.0,0.47978605462892265
04Q1 TDHQ S-B1,1789.4285714285713,1978.836935941822,567.0,5944.0,1.105848519207469
04Q2 TDHQT-B1,682.0,505.8935164636922,141.0,1629.0,0.7417793496535077
04Q3 TDHQ-CVC,3422.1111111111113,1657.056384409146,1164.0,6188.0,0.4842205090971237
05Q1 DISJ GENERAL,45757.88888888889,24700.208933551778,19630.0,95083.0,0.5398021965901836
06Q1 TDHQ TA1,413.55555555555554,390.5051571718071,104.0,1194.0,0.9442628733332252
06Q2 TDHQ SI,2566.5555555555557,980.4032475353076,1812.0,4694.0,0.3819918276902796
06Q3 TDHQ HA1,10825.444444444445,7649.893808268045,4904.0,27790.0,0.7066586362829589
06Q4 TDHQHA2,10510.555555555555,6938.424769194934,4801.0,25532.0,0.6601387274460004
07Q3 TDHQCVCA,21122.25,9460.898971934055,8197.0,34548.0,0.44791151377973726
07Q4 TDBATRDCA,5.555555555555555,3.7118429085533475,0.0,8.0,0.6681317235396026
TDBAT RDC VOIE A,6465.833333333333,2271.2783551706443,4668.0,10799.0,0.35127387887675904
TDBAT RDC VOIE B,5566.8,912.9924424659822,4609.0,6803.0,0.1640066901031081
TDHQHA1,1700.1666666666667,351.47086176049737,1293.0,2109.0,0.20672729835927695
TDHQHA2,1625.8333333333333,328.6392652539661,1243.0,2007.0,0.20213588841863625
TDHQSA1,1098.0,179.7965516910711,824.0,1315.0,0.16374913633066585
TDHQSB1,1095.1666666666667,223.41120532924631,779.0,1364.0,0.20399744817767126
TDHQTA1,233.33333333333334,41.21003114129697,187.0,288.0,0.17661441917698703
TDHQTB1,742.5,366.1604839411266,335.0,1364.0,0.4931454329173422
