meter_name,total_kwh,cum_kwh,cum_pct
02Q1 ONDULEUR A1,416503.0,416503.0,0.14824376010381615
05Q1 DISJ GENERAL,411821.0,828324.0,0.2948210801464417
02Q5 GF1,341318.0,1169642.0,0.41630463179220256
01Q1 DISJ GENERAL TRANSFO,305297.0,1474939.0,0.5249674150816741
02Q6 GF2 ,299117.0,1774056.0,0.6314305829123336
07Q3 TDHQCVCA,168978.0,1943034.0,0.6915740490934239
02Q2 RESERVE,103357.0,2046391.0,0.7283613719051446
06Q3 TDHQ HA1,97429.0,2143820.0,0.7630387723155971
02Q3  GF SI/TELECOM,95786.0,2239606.0,0.7971313882278573
06Q4 TDHQHA2,94595.0,2334201.0,0.8308000976657738
01Q2 DISJ GENERAL GE,86427.0,2420628.0,0.8615616130798105
03Q2 TDBATRDC NORMAL ,76604.0,2497232.0,0.8888268788737969
03Q1 DISJ GENERAL,56852.0,2554084.0,0.9090619173955414
03Q1 TD UTIL CVC,45815.0,2599899.0,0.9253686135517668
TDBAT RDC VOIE A,38795.0,2638694.0,0.9391767173907009
04Q3 TDHQ-CVC,30799.0,2669493.0,0.9501388462767771
TDBAT RDC VOIE B,27834.0,2697327.0,0.9600456580373877
06Q2 TDHQ SI,23099.0,2720426.0,0.9682671657207371
02Q8  DRY,15756.0,2736182.0,0.9738751173662132
04Q1 TDHQ S-B1,12526.0,2748708.0,0.9783334318058701
02Q1TD BAT RDC NORMAL,10980.0,2759688.0,0.9822414864559924
TDHQHA1,10201.0,2769889.0,0.9858722756623584
TDHQHA2,9755.0,2779644.0,0.989344322393865
TDHQSA1,6588.0,2786232.0,0.9916891551839384
TDHQSB1,6571.0,2792803.0,0.9940279372518759
04Q2 TDHQT-B1,6138.0,2798941.0,0.996212603867764
TDHQTB1,4455.0,2803396.0,0.9977982489921988
06Q1 TDHQ TA1,3722.0,2807118.0,0.9991230012151274
TDHQTA1,1400.0,2808518.0,0.9996212959792595
02Q4 ALIM ONDULEUR,873.0,2809391.0,0.9999320183571792
03Q3 ASCENSEUR,141.0,2809532.0,0.9999822037584238
07Q4 TDBATRDCA,50.0,2809582.0,1.0
